2026-06-17 18:36:33.547 | INFO     | jarvis.edge._supervisor:run_supervised:31 - pc_agent: supervisor up — logs at logs/pc_agent.log
2026-06-17 18:36:33.677 | INFO     | __main__:main:93 - pc-agent starting → ws://100.107.141.83:8765/control
2026-06-17 18:36:33.765 | INFO     | __main__:_session:56 - pc-agent: connected to ws://100.107.141.83:8765/control as 'VazghenLaptop' — ready for commands
2026-06-17 21:27:48.692 | WARNING  | __main__:main:101 - pc-agent link error (ConnectionClosedError: no close frame received or sent); reconnecting
2026-06-17 21:27:50.237 | INFO     | __main__:_session:56 - pc-agent: connected to ws://100.107.141.83:8765/control as 'VazghenLaptop' — ready for commands
2026-06-18 00:11:29.300 | WARNING  | __main__:main:101 - pc-agent link error (ConnectionClosedError: received 1011 (internal error) keepalive ping timeout; then sent 1011 (internal error) keepalive ping timeout); reconnecting
2026-06-18 00:11:34.870 | INFO     | __main__:_session:56 - pc-agent: connected to ws://100.107.141.83:8765/control as 'VazghenLaptop' — ready for commands
2026-06-18 00:52:38.892 | WARNING  | __main__:main:101 - pc-agent link error (ConnectionClosedError: no close frame received or sent); reconnecting
2026-06-18 00:52:42.122 | INFO     | __main__:_session:56 - pc-agent: connected to ws://100.107.141.83:8765/control as 'VazghenLaptop' — ready for commands
2026-06-18 01:10:17.338 | WARNING  | __main__:main:101 - pc-agent link error (ConnectionClosedError: no close frame received or sent); reconnecting
2026-06-18 01:10:28.530 | INFO     | __main__:_session:56 - pc-agent: connected to ws://100.107.141.83:8765/control as 'VazghenLaptop' — ready for commands
2026-06-18 01:14:28.063 | WARNING  | __main__:main:101 - pc-agent link error (ConnectionClosedError: no close frame received or sent); reconnecting
2026-06-18 01:14:45.845 | INFO     | __main__:_session:56 - pc-agent: connected to ws://100.107.141.83:8765/control as 'VazghenLaptop' — ready for commands
2026-06-18 01:26:59.124 | WARNING  | __main__:main:101 - pc-agent link error (ConnectionClosedError: no close frame received or sent); reconnecting
2026-06-18 01:27:24.080 | INFO     | __main__:_session:56 - pc-agent: connected to ws://100.107.141.83:8765/control as 'VazghenLaptop' — ready for commands
2026-06-18 01:59:52.908 | WARNING  | __main__:main:101 - pc-agent link error (ConnectionClosedError: no close frame received or sent); reconnecting
2026-06-18 02:00:37.615 | INFO     | __main__:_session:56 - pc-agent: connected to ws://100.107.141.83:8765/control as 'VazghenLaptop' — ready for commands
2026-06-18 05:40:39.752 | WARNING  | __main__:main:101 - pc-agent link error (ConnectionClosedError: no close frame received or sent); reconnecting
2026-06-18 05:41:36.547 | WARNING  | __main__:main:101 - pc-agent link error (TimeoutError: timed out during opening handshake); reconnecting
2026-06-18 05:42:18.675 | WARNING  | __main__:main:101 - pc-agent link error (TimeoutError: timed out during opening handshake); reconnecting
2026-06-18 05:43:00.005 | WARNING  | __main__:main:101 - pc-agent link error (TimeoutError: timed out during opening handshake); reconnecting
2026-06-18 05:43:39.887 | WARNING  | __main__:main:101 - pc-agent link error (TimeoutError: timed out during opening handshake); reconnecting
2026-06-18 06:00:48.447 | WARNING  | __main__:main:101 - pc-agent link error (TimeoutError: timed out during opening handshake); reconnecting
2026-06-18 06:01:34.471 | WARNING  | __main__:main:101 - pc-agent link error (TimeoutError: timed out during opening handshake); reconnecting
2026-06-18 06:02:05.976 | WARNING  | __main__:main:101 - pc-agent link error (TimeoutError: timed out during opening handshake); reconnecting
2026-06-18 06:02:49.439 | WARNING  | __main__:main:101 - pc-agent link error (TimeoutError: timed out during opening handshake); reconnecting
2026-06-18 06:03:28.686 | WARNING  | __main__:main:101 - pc-agent link error (TimeoutError: timed out during opening handshake); reconnecting
2026-06-18 06:12:03.703 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 06:12:40.595 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 06:13:01.716 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 06:13:33.104 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 06:14:00.972 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 06:14:30.328 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 07:00:11.719 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 07:00:50.427 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 07:01:18.470 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
